기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(주)솔데스크,(빅데이터 UI 전문가)자바 스프링 기반 빅데이터 UI 전문가 양성과정 A,1,23,19,79.0,UI/UX엔지니어링,과정 종료,27,30,실업자(국기),2022-02-15,2022-07-21,서울 종로구,4.28
(주)솔데스크,(빅데이터 UI 전문가)자바 스프링 기반 빅데이터 UI 전문가 양성과정 B,1,23,16,62.5,UI/UX엔지니어링,과정 종료,29,30,실업자(국기),2022-04-08,2022-09-23,서울 종로구,4.83
(주)솔데스크,(빅데이터 UI 전문가)자바 스프링 기반 빅데이터 UI 전문가 양성과정 C,1,20,17,76.5,UI/UX엔지니어링,과정 종료,25,30,실업자(국기),2022-09-27,2023-03-30,서울 종로구,4.75
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,6,23,15,86.7,IT시스템관리,과정 종료,28,30,K-디지털트레이닝,2022-02-15,2022-08-08,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,7,23,14,57.1,IT시스템관리,과정 종료,27,30,K-디지털트레이닝,2022-04-19,2022-11-18,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,8,27,18,77.8,IT시스템관리,과정 종료,32,30,K-디지털트레이닝,2022-07-20,2023-01-11,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,9,25,19,79.0,IT시스템관리,과정 종료,25,30,K-디지털트레이닝,2022-07-26,2023-03-22,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,10,23,18,55.6,IT시스템관리,과정 종료,24,30,K-디지털트레이닝,2022-08-09,2023-02-03,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,11,20,18,72.2,IT시스템관리,과정 종료,22,30,K-디지털트레이닝,2022-09-14,2023-03-07,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,12,24,22,86.4,IT시스템관리,과정 종료,26,30,K-디지털트레이닝,2022-11-22,2023-06-21,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,13,21,20,70.0,IT시스템관리,과정 종료,23,30,K-디지털트레이닝,2022-12-27,2023-06-27,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,3,27,21,76.2,IT시스템관리,과정 종료,33,30,K-디지털트레이닝,2022-01-18,2022-07-18,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,4,24,20,70.0,IT시스템관리,과정 종료,27,30,K-디지털트레이닝,2022-03-15,2022-09-02,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,5,25,17,88.2,IT시스템관리,과정 종료,27,30,K-디지털트레이닝,2022-06-21,2022-12-16,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,6,0,0,미실시,IT시스템관리,미실시,0,30,K-디지털트레이닝,2022-07-12,2023-03-02,서울 종로구,4.42
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,1,22,18,72.2,응용SW엔지니어링,과정 종료,25,30,K-디지털트레이닝,2022-07-26,2023-01-16,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,2,17,13,61.5,응용SW엔지니어링,과정 종료,19,30,K-디지털트레이닝,2022-08-23,2023-03-30,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,3,13,12,50.0,응용SW엔지니어링,과정 종료,21,30,K-디지털트레이닝,2022-11-22,2023-05-19,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,4,26,22,81.8,빅데이터분석,과정 종료,31,30,K-디지털트레이닝,2022-06-14,2022-12-07,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,5,29,23,82.6,빅데이터분석,과정 종료,36,30,K-디지털트레이닝,2022-07-12,2023-01-19,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,6,30,25,84.0,빅데이터분석,과정 종료,34,30,K-디지털트레이닝,2022-12-27,2023-06-29,서울 종로구,4.54
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,2,22,19,63.2,빅데이터분석,과정 종료,32,30,K-디지털트레이닝,2022-03-02,2022-08-23,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,3,28,25,64.0,빅데이터분석,과정 종료,34,30,K-디지털트레이닝,2022-05-06,2022-10-31,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,4,23,19,57.9,빅데이터분석,과정 종료,27,30,K-디지털트레이닝,2022-09-19,2023-03-10,서울 종로구,4.12
